"species_code","species_family","species_genus","species_name","species_common_name","species_order","species_date_added","species_deprecated","species_class","species_has_call","species_has_nv","species_has_song","species_french_name","species_tsn_id","species_allow_multiple_individuals","species_id","species_french_code","species_parent_id","species_status","species_has_feeding_buzz","species_use_in_aru","species_use_in_cam","species_is_domestic","species_class_english","species_aep_code","species_order_english","species_authority","species_verify_y_pixels_per_khz","species_verify_x_pixels_per_sec","species_verify_use_monochrome","species_has_night_flight","species_use_abundance_calling_index"
"MUDE","Cervidae","Odocoileus","hemionus","Mule Deer","Artiodactyla","2018-06-30 00:00:00",False,"Mammalia",True,False,False,"Cerf mulet",NULL,True,1,"CEMU",NULL,NULL,False,True,True,False,"Mammals",NULL,"Even-toed Ungulates",NULL,43,160,True,False,False
"CICA","Cicadidae","Cicada","spp.","Cicada","Hemiptera","2021-07-08 14:46:34.003844",False,"Insecta",True,True,True,"Cicade",NULL,True,2,"CICA",NULL,NULL,False,True,True,False,"Insects",NULL,NULL,NULL,43,160,True,False,False
"AMPK","Ochotonidae","Ochonta","princeps","American Pika","Lagomorpha","2018-12-21 20:35:51.827819",False,"Mammalia",True,False,True,"Pica d'Amérique",NULL,True,3,"PAMQ",NULL,NULL,False,True,True,False,"Mammals",NULL,"Rabbits, hares and allies",NULL,43,160,True,False,False
"OTTE","Mustelidae","Lontra","canadensis","North American River Otter","Carnivora","2018-06-30 00:00:00",False,"Mammalia",True,False,False,"Loutre de rivière",180549,True,11,"LORI",NULL,NULL,False,True,True,False,"Mammals",NULL,"Carnivores",NULL,43,160,True,False,False
"PORC","Erethizontidae","Erethizon","dorsatum","North American Porcupine","Rodentia","2018-06-30 00:00:00",False,"Mammalia",True,False,False,"Porc-épic d'Amérique",180393,True,12,"PEAQ",NULL,NULL,False,True,True,False,"Mammals",NULL,"Rodents",NULL,43,160,True,False,False
"REFX","Canidae","Vulpes","vulpes","Red Fox","Carnivora","2018-06-30 00:00:00",False,"Mammalia",True,False,False,"Renard roux",NULL,True,13,"RERO",NULL,NULL,False,True,True,False,"Mammals",NULL,"Carnivores",NULL,43,160,True,False,False
"WOLF","Canidae","Canis","lupus","Wolf","Carnivora","2018-06-30 00:00:00",False,"Mammalia",True,False,False,"Loup gris",180596,True,15,"LOGR",NULL,NULL,False,True,True,False,"Mammals",NULL,"Carnivores",NULL,43,160,True,False,False
"BADG","Mustelidae","Taxidea","taxus","American Badger","Carnivora","2018-06-30 00:00:00",False,"Mammalia",True,False,False,"Blaireau d'Amérique",180565,True,17,"BLAM",NULL,NULL,False,True,True,False,"Mammals",NULL,"Carnivores",NULL,43,160,True,False,False
"LASCIN","Vespertilionidae","Lasiurus","cinereus","Hoary Bat","Chiroptera","2018-06-30 00:00:00",False,"Mammalia",True,False,False,"Chauve-souris cendrée",NULL,True,18,"LACI",NULL,"1",True,True,True,False,"Mammals",NULL,"Bats",NULL,9.555555555555555,120,False,False,False
"CAFR","Ranidae","Rana","cascadae","Cascades Frog","Anura","2019-01-03 19:48:54.65693",False,"Amphibia",False,False,True,"Grenouille à pattes rouges",NULL,False,19,"GPRG",NULL,NULL,False,True,True,False,NULL,NULL,"Frogs",NULL,43,160,True,False,True
"BCFR","Ranidae","Pseudacris","maculata","Boreal Chorus Frog","Anura","2018-06-30 00:00:00",False,"Amphibia",False,False,True,"Rainette faux-grillon boréale",NULL,False,20,"RFGB",NULL,NULL,False,True,True,False,NULL,NULL,"Frogs",NULL,43,160,True,False,True
"LIRA","","","","Light rain","Abiotic","2018-06-30 00:00:00",False,"Abiotic",False,True,False,"Pluie légère",NULL,False,21,"PLEG",NULL,NULL,False,True,True,False,NULL,NULL,NULL,NULL,43,160,True,False,False
"HEWI","","","","Heavy wind","Abiotic","2018-06-30 00:00:00",False,"Abiotic",False,True,False,"Vent fort",NULL,False,22,"VEFO",NULL,NULL,False,True,True,False,NULL,NULL,NULL,NULL,43,160,True,False,False
"LIBA","","","","Light Background Noise","Abiotic","2018-06-30 00:00:00",False,"Abiotic",False,True,False,"Light Background Noise",NULL,False,23,"LIBA",NULL,NULL,False,True,True,False,NULL,NULL,NULL,NULL,43,160,True,False,False
"MOBA","","","","Moderate Background Noise","Abiotic","2018-06-30 00:00:00",False,"Abiotic",False,True,False,"Bruit de fond modéré",NULL,False,24,"BFMO",NULL,NULL,False,True,True,False,NULL,NULL,NULL,NULL,43,160,True,False,False
