"project","organization","location","recording_date","recording_time","status","latitude","longitude","buffer_radius_m","species_code","scientific_name","species_english_name","method","rain","wind","noise","industry_noise","audio_quality","species_individual_name","transcriber","abundance","confidence","min0_voc","min0_start","min0_freq_range","min0_tag_duration","min1_voc","min1_start","min1_freq_range","min1_tag_duration","min2_voc","min2_start","min2_freq_range","min2_tag_duration","min3_voc","min3_start","min3_freq_range","min3_tag_duration","min4_voc","min4_start","min4_freq_range","min4_tag_duration","min5_voc","min5_start","min5_freq_range","min5_tag_duration","min6_voc","min6_start","min6_freq_range","min6_tag_duration","min7_voc","min7_start","min7_freq_range","min7_tag_duration","min8_voc","min8_start","min8_freq_range","min8_tag_duration","min9_voc","min9_start","min9_freq_range","min9_tag_duration","comment","species_comment","source_file_name"
"ABMI Ecosystem Health 2015","ABMI","388-SE","2015-05-11","6:12:00","Transcribed",NA,NA,NA,"OVEN","Seiurus aurocapilla","Ovenbird","1m 1SPM",0,0,0,1,"No audio quality issues",1,"Nicole Boucher","ONE","To Be Checked","Song","41.5","2.24kHz to 7.84kHz","2.56","","","","","","","","","",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","","ABMI-0388-SE_0+1_20150511_061200.wac"
"ABMI Ecosystem Health 2015","ABMI","857-NW","2015-05-13","6:09:00","Transcribed",NA,NA,NA,"OVEN","Seiurus aurocapilla","Ovenbird","1m 1SPM",0,0,0,0,"No audio quality issues",1,"Nicole Boucher","ONE","Confident","Song","3.5","2.24kHz to 7.84kHz","2.56","","","","","","","","","",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","","ABMI-0857-NW_0+1_20150513_060900.wac"
"ABMI Ecosystem Health 2015","ABMI","514-SE","2015-05-15","6:05:00","Transcribed",56.463573,-110.06503,NA,"OVEN","Seiurus aurocapilla","Ovenbird","1m 1SPM",0,0,1,1,"No audio quality issues",1,"Natalie Sanchez","ONE","Confident","Song","36.5","2.24kHz to 7.84kHz","2.56","","","","","","","","","",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","","ABMI-0514-SE_0+1_20150515_060500.wac"
"ABMI Ecosystem Health 2015","ABMI","825-NE","2015-05-15","6:05:00","Transcribed",NA,NA,NA,"OVEN","Seiurus aurocapilla","Ovenbird","1m 1SPM",0,0,0,1,"No audio quality issues",1,"Alex MacPhail","ONE","Confident","Song","12.5","2.24kHz to 7.84kHz","2.56","","","","","","","","","",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","","ABMI-0825-NE_0+1_20150515_060500.wac"
"ABMI Ecosystem Health 2015","ABMI","OG-ABMI-1333-21-1","2015-05-15","6:05:00","Transcribed",52.019337,-112.946854,NA,"OVEN","Seiurus aurocapilla","Ovenbird","1m 1SPM",0,0,0,1,"No audio quality issues",1,"Natalie Sanchez","ONE","Confident","Song","3.5","2.24kHz to 7.84kHz","2.56","","","","","","","","","",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","","ABMI-OG-1333-21-1_20150515_060500.wac"
"ABMI Ecosystem Health 2015","ABMI","OG-ABMI-574-21-4","2015-05-17","6:02:00","Transcribed",56.174919,-110.900429,NA,"OVEN","Seiurus aurocapilla","Ovenbird","1m 1SPM",0,0,0,2,"No audio quality issues",1,"Lionel Leston","ONE","Confident","Song","58.5","2.24kHz to 7.84kHz","2.56","","","","","","","","","",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","","ABMI-OG-0574-21-4_20150517_060200.wac"
"ABMI Ecosystem Health 2015","ABMI","266-SW","2015-05-18","6:00:00","Transcribed",58.205688,-112.512741,NA,"OVEN","Seiurus aurocapilla","Ovenbird","1m 1SPM",0,2,0,0,"No audio quality issues",1,"Michelle Knaggs","ONE","Confident","Song","25.5","2.24kHz to 7.84kHz","2.56","","","","","","","","","",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","","ABMI-0266-SW_0+1_20150518_060000.wac"
"ABMI Ecosystem Health 2015","ABMI","857-SE","2015-05-19","5:59:00","Transcribed",54.640964,-111.75976,NA,"OVEN","Seiurus aurocapilla","Ovenbird","1m 1SPM",0,0,0,0,"No audio quality issues",1,"Nicole Boucher","ONE","Confident","Song","13.5","2.24kHz to 7.84kHz","2.56","","","","","","","","","",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","","ABMI-0857-SE_0+1_20150519_055900.wac"
"ABMI Ecosystem Health 2015","ABMI","857-SE","2015-05-19","5:59:00","Transcribed",54.640964,-111.75976,NA,"OVEN","Seiurus aurocapilla","Ovenbird","1m 1SPM",0,0,0,0,"No audio quality issues",2,"Nicole Boucher","ONE","Confident","Song","42.5","2.24kHz to 7.84kHz","2.56","","","","","","","","","",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","","ABMI-0857-SE_0+1_20150519_055900.wac"
"ABMI Ecosystem Health 2015","ABMI","359-SW","2015-05-20","5:57:00","Transcribed",57.454883,-111.054222,NA,"OVEN","Seiurus aurocapilla","Ovenbird","3m 1SPM",0,2,0,1,"No audio quality issues",1,"Connor Charchuk","ONE","Confident","Song","16.5","2.24kHz to 7.84kHz","2.56","Song","15.5","2.24kHz to 7.84kHz","2.56","Song","5.5","2.24kHz to 7.84kHz","2.56","",NA,"",NA,"",NA,"",NA,NA,NA,NA,NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","","ABMI-0359-SW_0+1_20150520_055700.wac"
